Age,Color,Sex,Weight,Housemanners,LeftUnattended,EarCleaning,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status
12,2,0,86,5,5,5,5,5,5,0
4,2,1,32,4,2,5,5,4,1,0
8,2,0,60,5,5,5,5,5,5,0
7,2,1,48,4,5,5,5,4,5,0
5,2,1,41,4,4,5,5,4,3,0
4,2,0,35,5,4,5,5,5,5,0
8,2,0,60,4,3,4,5,4,4,0
3,1,1,24,4,5,4,5,5,1,0
4,2,0,28.8,4,3,3,5,4,1,0
8,2,0,54,5,5,4,4,3,4,0
12,2,0,63,5,5,4,5,4,5,0
8,2,0,58,4,4,4,5,5,5,0
4,2,0,30,5,2,5,5,5,1,0
5,2,0,31,4,4,3,5,4,0,0
3,1,1,29,3,3,4,4,4,4,0
7,1,1,43,3,5,3,5,4,5,0
9,5,0,56,4,5,5,5,4,1,0
5,5,0,34,4,4,4,5,3,0,0
4,5,0,28,3,3,5,5,5,5,0
8,5,0,52,5,5,5,5,5,5,0
7,5,1,35,4,4,5,5,4,4,0
3,5,1,24,4,5,5,5,4,1,0
8,5,1,48,5,5,4,5,5,4,0
4,5,1,28,4,2,4,5,4,1,0
13,5,1,52,5,5,4,5,5,4,0
5,5,0,40,3,4,5,5,4,0,0
8,5,0,75,3,3,5,5,4,5,0
9,5,0,57,4,3,5,4,4,4,0
5,5,0,33.5,4,3,4,4,4,0,0
4,5,1,25,4,3,3,5,3,4,0
2,5,0,13.38,2,2,3,3,3,3,0
11,5,0,71,5,3,4,5,4,5,0
5,5,0,42,5,2,3,5,4,3,0
8,5,0,64,5,4,3,5,5,5,0
11,5,0,55,4,4,4,5,3,4,0
3,5,0,28,4,4,4,5,4,1,0
7,5,0,50,5,4,4,5,4,5,0
8,5,0,54,4,5,4,5,3,3,0
4,5,0,25,3,4,3,5,2,1,0
7,5,1,51,5,5,5,5,5,4,0
11,5,1,48,5,5,5,5,5,5,0
3,5,1,23,4,4,5,4,5,1,0
5,5,0,40,4,5,5,5,5,1,0
10,5,0,60,5,5,5,5,5,5,0
8,5,1,55,4,4,5,5,3,3,0
3,5,1,26,1,1,1,0,4,1,0
3,1,1,23.2,2,3,3,4,4,3,0
8,1,1,60,3,3,1,4,3,1,0
4,1,1,32,3,2,4,5,3,5,0
7,1,1,53,5,4,5,5,4,5,0
8,1,1,48,5,5,5,5,5,5,0
4,1,1,30.5,4,4,5,5,4,5,0
10,1,1,52,4,5,5,5,4,5,0
5,1,1,0,4,5,0,4,4,0,0
7,1,1,0,4,3,5,5,4,1,0
4,1,0,19,3,3,4,5,5,3,0
8,1,0,75,4,3,5,5,4,2,0
13,1,0,70,4,4,4,3,3,4,0
4,1,0,28,4,3,5,5,4,3,0
12,1,0,60,5,3,5,5,4,5,0
7,1,0,49,4,3,5,5,4,5,0
4,1,0,30,4,3,3,5,4,3,0
13,1,0,67,4,4,4,3,4,4,0
8,1,0,65,3,3,3,4,4,1,0
4,1,1,26,4,4,5,5,4,1,0
9,1,1,50,4,5,5,5,4,3,0
12,1,1,51,5,5,5,5,5,5,0
3,1,0,29,2,1,3,5,5,5,0
8,1,0,64,4,4,4,5,5,3,0
5,1,0,47,2,2,3,5,4,5,0
11,1,0,69,4,4,3,5,4,3,0
9,1,1,55,5,5,4,5,3,5,0
5,1,1,25,4,3,5,5,4,3,0
14,1,1,63.8,4,3,3,5,3,5,0
4,1,1,26.4,3,5,3,5,4,5,0
12,1,1,55,4,4,4,4,4,4,0
8,1,1,51,4,4,4,4,4,4,0
7,1,0,55,5,5,5,5,5,5,0
4,1,0,46.5,4,4,5,5,4,5,0
8,1,1,54,5,5,2,5,5,5,0
11,1,1,60,4,5,2,4,5,5,0
4,1,1,40,3,5,5,5,5,5,0
7,1,0,63,0,3,5,4,3,5,0
4,1,0,36,4,3,4,5,5,4,0
12,1,0,72.5,4,4,5,5,3,5,0
8,1,0,50,4,4,4,5,4,4,0
12,1,0,65,4,4,5,5,5,5,0
3,1,0,30,4,4,5,5,4,5,0
8,5,1,46,2,5,5,5,4,5,0
4,5,1,32,1,5,5,5,4,5,0
13,5,1,162,4,5,5,5,4,5,0
4,1,1,25,4,3,5,5,4,3,0
8,1,1,45,2,3,3,1,2,3,0
13,1,1,60,5,5,4,5,4,1,0
8,1,1,50,5,5,4,5,5,5,0
4,1,1,27,5,4,5,5,5,3,0
13,1,1,55,5,5,4,5,5,5,0
13,1,0,68,5,5,5,5,5,5,0
8,1,0,55,5,5,5,5,5,5,0
8,1,0,58,5,4,5,5,5,5,0
5,1,0,44,5,5,5,5,5,5,0
5,1,0,35,4,3,5,5,5,3,0
13,1,0,74,4,5,4,5,4,4,0
4,1,0,39.5,4,3,4,5,4,5,0
4,5,0,30,1,5,1,5,3,5,0
8,5,0,70,4,4,5,3,3,4,0
13,5,0,80,4,5,5,5,3,5,0
14,5,0,60,5,5,5,5,5,5,0
3,5,0,26,3,3,4,5,4,3,0
8,5,0,47,5,5,5,5,3,5,0
3,5,0,26,4,3,4,3,3,2,0
8,1,0,55,5,4,5,5,4,5,0
5,1,0,40,4,4,5,5,4,5,0
12,1,0,70,3,3,4,4,3,5,0
4,5,0,30,3,4,3,4,3,3,0
13,5,1,65,4,3,4,5,4,5,0
6,5,0,40,4,4,4,4,3,4,0
7,5,0,60,4,5,3,0,5,4,0
4,5,0,30,3,5,3,5,3,1,0
12,5,0,76,4,4,3,4,2,5,0
13,1,1,67,4,4,5,5,4,5,0
4,1,1,36.5,5,4,4,5,5,1,0
6,1,1,55,5,4,4,5,5,5,0
7,1,0,55.8,5,5,4,5,3,5,0
12,1,0,62,5,5,4,5,3,5,0
10,1,0,32.4,3,5,4,5,3,0,0
3,1,0,27,4,3,4,4,4,1,0
5,5,1,36,4,4,4,5,3,5,0
8,5,1,0,5,5,4,5,3,5,0
12,5,1,58,5,5,5,5,4,5,0
5,1,0,50,4,4,4,5,4,0,0
9,1,0,70,5,5,5,5,5,5,0
13,1,0,90,5,5,5,5,5,5,0
7,1,1,57,5,5,5,5,5,1,0
4,1,1,40.5,3,3,5,5,4,5,0
12,1,1,63,5,5,5,5,5,5,0
12,1,0,63,5,5,5,5,5,5,0
8,1,0,61,5,5,5,5,5,2,0
4,1,0,43,4,4,5,5,4,1,0
7,1,0,70,5,4,4,5,5,5,0
4,1,0,46,4,3,4,5,5,4,0
13,5,0,83,3,4,5,5,4,5,0
13,1,0,63,5,5,5,4,4,5,0
8,1,0,63,5,5,5,5,4,5,0
5,1,0,46,2,2,4,2,2,2,0
4,1,0,38,3,3,4,5,4,1,0
4,2,0,20,4,4,5,4,3,5,0
8,2,0,85,4,5,5,4,3,0,0
13,2,0,86,4,4,5,2,2,3,0
6,2,1,40,4,3,4,5,4,3,0
4,2,1,35,3,2,4,5,5,5,0
8,2,1,53,4,3,5,5,5,5,0
12,2,1,67,5,4,5,5,4,5,0
4,2,1,39.7,3,3,3,2,4,1,0
9,2,0,70,4,4,4,4,4,4,0
5,2,0,50,4,3,3,4,2,3,0
12,2,0,83,5,5,4,4,3,5,0
8,2,0,60,5,5,5,5,5,1,0
13,2,0,75,5,5,5,5,5,5,0
5,2,0,45,5,5,5,5,5,3,0
6,2,1,40,4,3,4,4,4,4,0
4,2,0,30,3,2,2,5,3,3,0
8,2,0,55,4,3,2,4,2,4,0
13,2,0,70,4,3,4,4,3,4,0
13,2,1,56,5,5,5,5,4,5,0
5,2,1,32,5,5,4,0,5,5,0
9,2,1,50,5,5,5,5,4,5,0
9,1,1,51,4,3,4,5,4,5,0
6,1,1,41,4,3,4,5,4,0,0
13,1,1,52,4,4,4,4,4,5,0
8,1,1,45,4,4,5,5,4,5,0
4,1,1,34,3,3,5,5,4,4,0
5,5,1,35,4,2,3,5,4,0,0
8,5,1,61,4,4,3,5,4,1,0
12,5,1,50,4,5,4,5,4,1,0
13,5,1,54,4,5,5,5,5,4,0
9,2,1,54.4,4,4,4,5,5,1,0
12,2,1,56.5,5,5,4,5,4,5,0
7,2,1,40,4,4,4,5,4,2,0
4,2,1,23.6,3,2,4,5,4,1,0
